country,category,image_url,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Estados Unidos,País,https://public.flourish.studio/country-flags/svg/us.svg,0,7,18,35,66,121,175,246,340,439,524,585,647,678,724,761,789,808,838,864,888,923,942,958,978,998,1024,1055,1085,1096,1106,1125,1150,1194,1226,1254,1285,1320,1360,1401,1489,1580,1660,1716,1750,1783,1811,1832,1853,1889,1935,1960,1998,2034,2064,2098,2178,2274,2379,2484,2770,2961,3323,4307,5539,7475,9708,11969,15677
Rusia,País,https://public.flourish.studio/country-flags/svg/ru.svg,2,3,6,9,16,36,53,88,152,196,262,336,406,494,592,681,790,885,996,1117,1221,1340,1441,1551,1675,1794,1910,2025,2144,2258,2374,2483,2582,2678,2761,2839,2898,2962,2998,3026,3054,3081,3096,3119,3149,3168,3190,3209,3228,3244,3262,3283,3313,3337,3361,3384,3413,3448,3475,3489,3514,3537,3567,3591,3612,3662,3728,3825,3914
China,País,https://public.flourish.studio/country-flags/svg/cn.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,8,8,9,9,9,12,13,14,17,18,20,22,26,26,32,33,35,36,41,42,45,52,62,72,78,80,87,96,106,113,121,131,148,156,176,196,222,241,266,304,342,373,468,544,617,727,909,1119,1385,1759
Reino Unido,País,https://public.flourish.studio/country-flags/svg/gb.svg,0,0,0,0,0,1,1,2,2,2,3,3,5,6,8,8,8,12,12,12,12,12,14,14,16,16,16,18,18,18,18,19,21,26,27,27,27,29,29,29,29,30,32,36,37,37,38,38,41,41,43,46,49,52,54,58,65,75,82,83,90,102,116,220,509,621,766,797,807
Japón,País,https://public.flourish.studio/country-flags/svg/jp.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,7,8,12,16,18,20,23,24,27,30,32,36,39,41,45,52,54,58,59,63,67,70,77,80,81,84,88,98,105,107,112,123,129,135,147,156,160,169,174,198,202,213,229,246,267,276,300,312,328,354,384
Francia,País,https://public.flourish.studio/country-flags/svg/fr.svg,0,0,0,0,0,0,0,0,3,4,6,6,6,8,10,11,11,13,20,20,22,22,22,22,22,22,22,23,24,25,25,27,27,29,31,33,36,36,39,40,40,41,43,43,44,47,47,54,55,58,58,59,62,71,90,95,103,105,105,107,109,111,118,122,131,141,153,175,200
India,País,https://public.flourish.studio/country-flags/svg/in.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,8,10,10,10,10,10,13,13,15,16,18,19,21,23,24,26,26,28,29,31,33,37,38,41,41,46,50,54,56,63,65,70,74,78,90,99,109,119,122,127,138,146,156,163
Alemania,País,https://public.flourish.studio/country-flags/svg/de.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,9,10,10,10,10,10,10,10,11,12,12,12,13,14,16,18,19,20,21,24,26,27,29,32,34,37,38,43,43,43,44,45,48,57,61,63,63,64,70,71,71,73,75,86,97,102,111,121,131,138,158
Italia,País,https://public.flourish.studio/country-flags/svg/it.svg,0,0,0,0,0,0,0,2,2,2,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,9,11,11,11,13,13,13,14,17,18,19,19,20,20,20,23,24,25,26,27,31,32,34,35,36,40,41,44,45,53,64,87,98,128
Canadá,País,https://public.flourish.studio/country-flags/svg/ca.svg,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,6,8,8,9,10,10,11,11,11,11,13,14,15,16,16,16,16,16,16,18,19,19,19,20,21,21,21,22,23,24,26,29,30,31,31,33,38,40,40,42,44,48,52,54,57,57,62,65,71,82,91,109,112,118
