entity,code,year,annual_launches,cumulative_launches
Algeria,DZA,2002,1,1
Algeria,DZA,2010,1,2
Algeria,DZA,2016,3,5
Algeria,DZA,2017,1,6
Angola,AGO,2017,1,1
Angola,AGO,2022,1,2
Argentina,ARG,1990,1,1
Argentina,ARG,1996,3,4
Argentina,ARG,1997,1,5
Argentina,ARG,1998,1,6
Argentina,ARG,2000,2,8
Argentina,ARG,2002,2,10
Argentina,ARG,2007,1,11
Argentina,ARG,2011,1,12
Argentina,ARG,2013,2,14
Argentina,ARG,2014,2,16
Argentina,ARG,2015,1,17
Argentina,ARG,2018,1,18
Argentina,ARG,2020,1,19
Argentina,ARG,2021,1,20
Argentina,ARG,2022,1,21
Argentina,ARG,2023,1,22
Armenia,ARM,2022,1,1
Armenia,ARM,2023,1,2
Australia,AUS,1967,1,1
Australia,AUS,1970,1,2
Australia,AUS,1985,2,4
Australia,AUS,1987,1,5
Australia,AUS,1992,2,7
Australia,AUS,1994,1,8
Australia,AUS,1998,1,9
Australia,AUS,2002,1,10
Australia,AUS,2003,1,11
Australia,AUS,2006,1,12
Australia,AUS,2007,1,13
Australia,AUS,2009,1,14
Australia,AUS,2014,1,15
Australia,AUS,2015,1,16
Australia,AUS,2016,1,17
Australia,AUS,2017,1,18
Australia,AUS,2018,6,24
Australia,AUS,2019,1,25
Australia,AUS,2020,3,28
Australia,AUS,2021,8,36
Australia,AUS,2023,11,47
Australia,AUS,2024,9,56
Australia,AUS,2025,12,68
Austria,AUT,2013,2,2
Austria,AUT,2017,1,3
Austria,AUT,2023,1,4
Azerbaijan,AZE,2013,1,1
Azerbaijan,AZE,2014,1,2
Azerbaijan,AZE,2018,1,3
Azerbaijan,AZE,2025,1,4
Bahrain,BHR,2025,1,1
Bangladesh,BGD,2017,1,1
Bangladesh,BGD,2018,1,2
Belarus,BLR,2012,1,1
Belarus,BLR,2016,1,2
Belarus,BLR,2018,1,3
Belarus,BLR,2023,1,4
Belarus,BLR,2025,2,6
Belgium,BEL,2014,3,3
Belgium,BEL,2016,1,4
Belgium,BEL,2017,28,32
Belgium,BEL,2020,3,35
Belgium,BEL,2021,1,36
Belgium,BEL,2023,3,39
Belgium,BEL,2024,4,43
Belgium,BEL,2025,1,44
Bhutan,BTN,2018,1,1
Bolivia,BOL,2013,1,1
Botswana,BWA,2025,1,1
Brazil,BRA,1985,1,1
Brazil,BRA,1986,1,2
Brazil,BRA,1990,1,3
Brazil,BRA,1993,1,4
Brazil,BRA,1994,1,5
Brazil,BRA,1995,1,6
Brazil,BRA,1998,2,8
Brazil,BRA,1999,4,12
Brazil,BRA,2000,1,13
Brazil,BRA,2004,2,15
Brazil,BRA,2007,1,16
Brazil,BRA,2008,1,17
Brazil,BRA,2009,1,18
Brazil,BRA,2011,1,19
Brazil,BRA,2012,1,20
Brazil,BRA,2013,1,21
Brazil,BRA,2014,2,23
Brazil,BRA,2015,3,26
Brazil,BRA,2016,1,27
Brazil,BRA,2017,4,31
Brazil,BRA,2018,3,34
Brazil,BRA,2019,2,36
Brazil,BRA,2021,3,39
Brazil,BRA,2022,5,44
Brazil,BRA,2023,2,46
Brazil,BRA,2024,2,48
Bulgaria,BGR,2017,1,1
Bulgaria,BGR,2018,1,2
Bulgaria,BGR,2021,1,3
Bulgaria,BGR,2022,1,4
Bulgaria,BGR,2023,1,5
Bulgaria,BGR,2025,2,7
Canada,CAN,1962,1,1
Canada,CAN,1965,1,2
Canada,CAN,1969,1,3
Canada,CAN,1971,1,4
Canada,CAN,1972,2,6
Canada,CAN,1973,2,8
Canada,CAN,1975,1,9
Canada,CAN,1976,1,10
Canada,CAN,1978,1,11
Canada,CAN,1982,2,13
Canada,CAN,1983,1,14
Canada,CAN,1984,1,15
Canada,CAN,1985,1,16
Canada,CAN,1991,2,18
Canada,CAN,1992,1,19
Canada,CAN,1995,1,20
Canada,CAN,1996,1,21
Canada,CAN,1999,1,22
Canada,CAN,2000,1,23
Canada,CAN,2001,1,24
Canada,CAN,2002,2,26
Canada,CAN,2003,3,29
Canada,CAN,2004,1,30
Canada,CAN,2005,1,31
Canada,CAN,2007,2,33
Canada,CAN,2008,5,38
Canada,CAN,2009,2,40
Canada,CAN,2011,2,42
Canada,CAN,2012,2,44
Canada,CAN,2013,4,48
Canada,CAN,2014,4,52
Canada,CAN,2015,2,54
Canada,CAN,2016,3,57
Canada,CAN,2018,5,62
Canada,CAN,2019,3,65
Canada,CAN,2020,6,71
Canada,CAN,2021,11,82
Canada,CAN,2022,9,91
Canada,CAN,2023,18,109
Canada,CAN,2024,3,112
Canada,CAN,2025,6,118
Chile,CHL,1995,1,1
Chile,CHL,1998,1,2
Chile,CHL,2011,1,3
Chile,CHL,2017,1,4
Chile,CHL,2022,3,7
Chile,CHL,2024,1,8
China,CHN,1970,1,1
China,CHN,1971,1,2
China,CHN,1974,1,3
China,CHN,1975,3,6
China,CHN,1976,2,8
China,CHN,1978,1,9
China,CHN,1981,3,12
China,CHN,1982,1,13
China,CHN,1983,1,14
China,CHN,1984,3,17
China,CHN,1985,1,18
China,CHN,1986,2,20
China,CHN,1987,2,22
China,CHN,1988,4,26
China,CHN,1990,6,32
China,CHN,1991,1,33
China,CHN,1992,2,35
China,CHN,1993,1,36
China,CHN,1994,5,41
China,CHN,1995,1,42
China,CHN,1996,3,45
China,CHN,1997,7,52
China,CHN,1998,10,62
China,CHN,1999,10,72
China,CHN,2000,6,78
China,CHN,2001,2,80
China,CHN,2002,7,87
China,CHN,2003,9,96
China,CHN,2004,10,106
China,CHN,2005,7,113
China,CHN,2006,8,121
China,CHN,2007,10,131
China,CHN,2008,17,148
China,CHN,2009,8,156
China,CHN,2010,20,176
China,CHN,2011,20,196
China,CHN,2012,26,222
China,CHN,2013,19,241
China,CHN,2014,25,266
China,CHN,2015,38,304
China,CHN,2016,38,342
China,CHN,2017,31,373
China,CHN,2018,95,468
China,CHN,2019,76,544
China,CHN,2020,73,617
China,CHN,2021,110,727
China,CHN,2022,182,909
China,CHN,2023,210,1119
China,CHN,2024,266,1385
China,CHN,2025,374,1759
Colombia,COL,2007,1,1
Colombia,COL,2018,1,2
Colombia,COL,2023,1,3
Costa Rica,CRI,2018,1,1
Croatia,HRV,2024,1,1
Czechia,CZE,1978,1,1
Czechia,CZE,1989,1,2
Czechia,CZE,1991,1,3
Czechia,CZE,1995,1,4
Czechia,CZE,1996,1,5
Czechia,CZE,2003,1,6
Czechia,CZE,2019,1,7
Czechia,CZE,2022,3,10
Czechia,CZE,2023,1,11
Czechia,CZE,2024,1,12
Czechia,CZE,2025,3,15
Denmark,DNK,1999,1,1
Denmark,DNK,2003,2,3
Denmark,DNK,2008,1,4
Denmark,DNK,2013,2,6
Denmark,DNK,2014,1,7
Denmark,DNK,2015,1,8
Denmark,DNK,2016,1,9
Denmark,DNK,2018,2,11
Denmark,DNK,2019,1,12
Denmark,DNK,2023,2,14
Denmark,DNK,2025,2,16
Djibouti,DJI,2023,1,1
Djibouti,DJI,2024,1,2
Ecuador,ECU,2013,2,2
Ecuador,ECU,2025,1,3
Egypt,EGY,1998,1,1
Egypt,EGY,2000,1,2
Egypt,EGY,2007,1,3
Egypt,EGY,2010,1,4
Egypt,EGY,2014,1,5
Egypt,EGY,2019,4,9
Egypt,EGY,2022,1,10
Egypt,EGY,2023,3,13
Egypt,EGY,2024,1,14
Egypt,EGY,2025,1,15
Estonia,EST,2013,1,1
Estonia,EST,2019,1,2
Estonia,EST,2020,1,3
Estonia,EST,2023,1,4
Ethiopia,ETH,2019,1,1
Finland,FIN,2017,1,1
Finland,FIN,2018,4,5
Finland,FIN,2019,2,7
Finland,FIN,2020,2,9
Finland,FIN,2021,8,17
Finland,FIN,2022,4,21
Finland,FIN,2023,6,27
Finland,FIN,2024,4,31
Finland,FIN,2025,17,48
France,FRA,1965,3,3
France,FRA,1966,1,4
France,FRA,1967,2,6
France,FRA,1970,2,8
France,FRA,1971,2,10
France,FRA,1972,1,11
France,FRA,1974,2,13
France,FRA,1975,7,20
France,FRA,1977,2,22
France,FRA,1984,1,23
France,FRA,1985,1,24
France,FRA,1986,1,25
France,FRA,1988,2,27
France,FRA,1990,2,29
France,FRA,1991,2,31
France,FRA,1992,2,33
France,FRA,1993,3,36
France,FRA,1995,3,39
France,FRA,1996,1,40
France,FRA,1998,1,41
France,FRA,1999,2,43
France,FRA,2001,1,44
France,FRA,2002,3,47
France,FRA,2004,7,54
France,FRA,2005,1,55
France,FRA,2006,3,58
France,FRA,2008,1,59
France,FRA,2009,3,62
France,FRA,2010,9,71
France,FRA,2011,19,90
France,FRA,2012,5,95
France,FRA,2013,8,103
France,FRA,2014,2,105
France,FRA,2016,2,107
France,FRA,2017,2,109
France,FRA,2018,2,111
France,FRA,2019,7,118
France,FRA,2020,4,122
France,FRA,2021,9,131
France,FRA,2022,10,141
France,FRA,2023,12,153
France,FRA,2024,22,175
France,FRA,2025,25,200
Germany,DEU,1969,1,1
Germany,DEU,1970,1,2
Germany,DEU,1972,1,3
Germany,DEU,1974,4,7
Germany,DEU,1975,2,9
Germany,DEU,1976,1,10
Germany,DEU,1983,1,11
Germany,DEU,1984,1,12
Germany,DEU,1987,1,13
Germany,DEU,1988,1,14
Germany,DEU,1989,2,16
Germany,DEU,1990,2,18
Germany,DEU,1991,1,19
Germany,DEU,1992,1,20
Germany,DEU,1993,1,21
Germany,DEU,1994,3,24
Germany,DEU,1995,2,26
Germany,DEU,1996,1,27
Germany,DEU,1997,2,29
Germany,DEU,1998,3,32
Germany,DEU,1999,2,34
Germany,DEU,2000,3,37
Germany,DEU,2001,1,38
Germany,DEU,2002,5,43
Germany,DEU,2005,1,44
Germany,DEU,2006,1,45
Germany,DEU,2007,3,48
Germany,DEU,2008,9,57
Germany,DEU,2009,4,61
Germany,DEU,2010,2,63
Germany,DEU,2012,1,64
Germany,DEU,2013,6,70
Germany,DEU,2014,1,71
Germany,DEU,2016,2,73
Germany,DEU,2017,2,75
Germany,DEU,2018,11,86
Germany,DEU,2019,11,97
Germany,DEU,2020,5,102
Germany,DEU,2021,9,111
Germany,DEU,2022,10,121
Germany,DEU,2023,10,131
Germany,DEU,2024,7,138
Germany,DEU,2025,20,158
Ghana,GHA,2017,1,1
Greece,GRC,2003,1,1
Greece,GRC,2017,1,2
Greece,GRC,2019,1,3
Greece,GRC,2022,2,5
Greece,GRC,2025,5,10
Guatemala,GTM,2020,1,1
Hungary,HUN,2012,1,1
Hungary,HUN,2019,2,3
Hungary,HUN,2021,2,5
Hungary,HUN,2023,3,8
Hungary,HUN,2024,1,9
Hungary,HUN,2025,2,11
India,IND,1975,1,1
India,IND,1979,1,2
India,IND,1980,1,3
India,IND,1981,3,6
India,IND,1982,2,8
India,IND,1983,2,10
