entity,code,year,annual_launches,cumulative_launches
Algeria,DZA,1957,0,0
Algeria,DZA,1958,0,0
Algeria,DZA,1959,0,0
Algeria,DZA,1960,0,0
Algeria,DZA,1961,0,0
Algeria,DZA,1962,0,0
Algeria,DZA,1963,0,0
Algeria,DZA,1964,0,0
Algeria,DZA,1965,0,0
Algeria,DZA,1966,0,0
Algeria,DZA,1967,0,0
Algeria,DZA,1968,0,0
Algeria,DZA,1969,0,0
Algeria,DZA,1970,0,0
Algeria,DZA,1971,0,0
Algeria,DZA,1972,0,0
Algeria,DZA,1973,0,0
Algeria,DZA,1974,0,0
Algeria,DZA,1975,0,0
Algeria,DZA,1976,0,0
Algeria,DZA,1977,0,0
Algeria,DZA,1978,0,0
Algeria,DZA,1979,0,0
Algeria,DZA,1980,0,0
Algeria,DZA,1981,0,0
Algeria,DZA,1982,0,0
Algeria,DZA,1983,0,0
Algeria,DZA,1984,0,0
Algeria,DZA,1985,0,0
Algeria,DZA,1986,0,0
Algeria,DZA,1987,0,0
Algeria,DZA,1988,0,0
Algeria,DZA,1989,0,0
Algeria,DZA,1990,0,0
Algeria,DZA,1991,0,0
Algeria,DZA,1992,0,0
Algeria,DZA,1993,0,0
Algeria,DZA,1994,0,0
Algeria,DZA,1995,0,0
Algeria,DZA,1996,0,0
Algeria,DZA,1997,0,0
Algeria,DZA,1998,0,0
Algeria,DZA,1999,0,0
Algeria,DZA,2000,0,0
Algeria,DZA,2001,0,0
Algeria,DZA,2002,1,1
Algeria,DZA,2003,0,1
Algeria,DZA,2004,0,1
Algeria,DZA,2005,0,1
Algeria,DZA,2006,0,1
Algeria,DZA,2007,0,1
Algeria,DZA,2008,0,1
Algeria,DZA,2009,0,1
Algeria,DZA,2010,1,2
Algeria,DZA,2011,0,2
Algeria,DZA,2012,0,2
Algeria,DZA,2013,0,2
Algeria,DZA,2014,0,2
Algeria,DZA,2015,0,2
Algeria,DZA,2016,3,5
Algeria,DZA,2017,1,6
Algeria,DZA,2018,0,6
Algeria,DZA,2019,0,6
Algeria,DZA,2020,0,6
Algeria,DZA,2021,0,6
Algeria,DZA,2022,0,6
Algeria,DZA,2023,0,6
Algeria,DZA,2024,0,6
Algeria,DZA,2025,0,6
Angola,AGO,1957,0,0
Angola,AGO,1958,0,0
Angola,AGO,1959,0,0
Angola,AGO,1960,0,0
Angola,AGO,1961,0,0
Angola,AGO,1962,0,0
Angola,AGO,1963,0,0
Angola,AGO,1964,0,0
Angola,AGO,1965,0,0
Angola,AGO,1966,0,0
Angola,AGO,1967,0,0
Angola,AGO,1968,0,0
Angola,AGO,1969,0,0
Angola,AGO,1970,0,0
Angola,AGO,1971,0,0
Angola,AGO,1972,0,0
Angola,AGO,1973,0,0
Angola,AGO,1974,0,0
Angola,AGO,1975,0,0
Angola,AGO,1976,0,0
Angola,AGO,1977,0,0
Angola,AGO,1978,0,0
Angola,AGO,1979,0,0
Angola,AGO,1980,0,0
Angola,AGO,1981,0,0
Angola,AGO,1982,0,0
Angola,AGO,1983,0,0
Angola,AGO,1984,0,0
Angola,AGO,1985,0,0
Angola,AGO,1986,0,0
Angola,AGO,1987,0,0
Angola,AGO,1988,0,0
Angola,AGO,1989,0,0
Angola,AGO,1990,0,0
Angola,AGO,1991,0,0
Angola,AGO,1992,0,0
Angola,AGO,1993,0,0
Angola,AGO,1994,0,0
Angola,AGO,1995,0,0
Angola,AGO,1996,0,0
Angola,AGO,1997,0,0
Angola,AGO,1998,0,0
Angola,AGO,1999,0,0
Angola,AGO,2000,0,0
Angola,AGO,2001,0,0
Angola,AGO,2002,0,0
Angola,AGO,2003,0,0
Angola,AGO,2004,0,0
Angola,AGO,2005,0,0
Angola,AGO,2006,0,0
Angola,AGO,2007,0,0
Angola,AGO,2008,0,0
Angola,AGO,2009,0,0
Angola,AGO,2010,0,0
Angola,AGO,2011,0,0
Angola,AGO,2012,0,0
Angola,AGO,2013,0,0
Angola,AGO,2014,0,0
Angola,AGO,2015,0,0
Angola,AGO,2016,0,0
Angola,AGO,2017,1,1
Angola,AGO,2018,0,1
Angola,AGO,2019,0,1
Angola,AGO,2020,0,1
Angola,AGO,2021,0,1
Angola,AGO,2022,1,2
Angola,AGO,2023,0,2
Angola,AGO,2024,0,2
Angola,AGO,2025,0,2
Argentina,ARG,1957,0,0
Argentina,ARG,1958,0,0
Argentina,ARG,1959,0,0
Argentina,ARG,1960,0,0
Argentina,ARG,1961,0,0
Argentina,ARG,1962,0,0
Argentina,ARG,1963,0,0
Argentina,ARG,1964,0,0
Argentina,ARG,1965,0,0
Argentina,ARG,1966,0,0
Argentina,ARG,1967,0,0
Argentina,ARG,1968,0,0
Argentina,ARG,1969,0,0
Argentina,ARG,1970,0,0
Argentina,ARG,1971,0,0
Argentina,ARG,1972,0,0
Argentina,ARG,1973,0,0
Argentina,ARG,1974,0,0
Argentina,ARG,1975,0,0
Argentina,ARG,1976,0,0
Argentina,ARG,1977,0,0
Argentina,ARG,1978,0,0
Argentina,ARG,1979,0,0
Argentina,ARG,1980,0,0
Argentina,ARG,1981,0,0
Argentina,ARG,1982,0,0
Argentina,ARG,1983,0,0
Argentina,ARG,1984,0,0
Argentina,ARG,1985,0,0
Argentina,ARG,1986,0,0
Argentina,ARG,1987,0,0
Argentina,ARG,1988,0,0
Argentina,ARG,1989,0,0
Argentina,ARG,1990,1,1
Argentina,ARG,1991,0,1
Argentina,ARG,1992,0,1
Argentina,ARG,1993,0,1
Argentina,ARG,1994,0,1
Argentina,ARG,1995,0,1
Argentina,ARG,1996,3,4
Argentina,ARG,1997,1,5
Argentina,ARG,1998,1,6
Argentina,ARG,1999,0,6
Argentina,ARG,2000,2,8
Argentina,ARG,2001,0,8
Argentina,ARG,2002,2,10
Argentina,ARG,2003,0,10
Argentina,ARG,2004,0,10
Argentina,ARG,2005,0,10
Argentina,ARG,2006,0,10
Argentina,ARG,2007,1,11
Argentina,ARG,2008,0,11
Argentina,ARG,2009,0,11
Argentina,ARG,2010,0,11
Argentina,ARG,2011,1,12
Argentina,ARG,2012,0,12
Argentina,ARG,2013,2,14
Argentina,ARG,2014,2,16
Argentina,ARG,2015,1,17
Argentina,ARG,2016,0,17
Argentina,ARG,2017,0,17
Argentina,ARG,2018,1,18
Argentina,ARG,2019,0,18
Argentina,ARG,2020,1,19
Argentina,ARG,2021,1,20
Argentina,ARG,2022,1,21
Argentina,ARG,2023,1,22
Argentina,ARG,2024,0,22
Argentina,ARG,2025,0,22
Armenia,ARM,1957,0,0
Armenia,ARM,1958,0,0
Armenia,ARM,1959,0,0
Armenia,ARM,1960,0,0
Armenia,ARM,1961,0,0
Armenia,ARM,1962,0,0
Armenia,ARM,1963,0,0
Armenia,ARM,1964,0,0
Armenia,ARM,1965,0,0
Armenia,ARM,1966,0,0
Armenia,ARM,1967,0,0
Armenia,ARM,1968,0,0
Armenia,ARM,1969,0,0
