entity,year,annual_launches,cumulative_launches
World,1957,2,2
World,1958,8,10
World,1959,14,24
World,1960,20,44
World,1961,38,82
World,1962,77,159
World,1963,71,230
World,1964,107,337
World,1965,161,498
World,1966,145,643
World,1967,159,802
World,1968,140,942
World,1969,138,1080
World,1970,130,1210
World,1971,156,1366
World,1972,134,1500
World,1973,138,1638
World,1974,128,1766
World,1975,158,1924
World,1976,158,2082
World,1977,137,2219
World,1978,165,2384
World,1979,124,2508
World,1980,130,2638
World,1981,158,2796
World,1982,145,2941
World,1983,154,3095
World,1984,163,3258
World,1985,165,3423
World,1986,134,3557
World,1987,135,3692
World,1988,145,3837
World,1989,139,3976
World,1990,170,4146
World,1991,137,4283
World,1992,130,4413
World,1993,108,4521
World,1994,123,4644
World,1995,105,4749
World,1996,100,4849
World,1997,152,5001
World,1998,157,5158
World,1999,129,5287
World,2000,121,5408
World,2001,86,5494
World,2002,96,5590
World,2003,88,5678
World,2004,74,5752
World,2005,72,5824
World,2006,95,5919
World,2007,111,6030
World,2008,109,6139
World,2009,125,6264
World,2010,121,6385
World,2011,129,6514
World,2012,134,6648
World,2013,210,6858
World,2014,241,7099
World,2015,222,7321
World,2016,221,7542
World,2017,456,7998
World,2018,452,8450
World,2019,586,9036
World,2020,1274,10310
World,2021,1814,12124
World,2022,2479,14603
World,2023,2903,17506
World,2024,2849,20355
World,2025,4510,24865
