year,object_type_short,object_type_label,n_objects
1957,payload,Payload / satélite,2
1957,rocket_body,Cuerpo de cohete,1
1958,debris,Debris / residuo,1
1958,payload,Payload / satélite,8
1958,rocket_body,Cuerpo de cohete,2
1959,debris,Debris / residuo,5
1959,payload,Payload / satélite,15
1959,rocket_body,Cuerpo de cohete,3
1960,debris,Debris / residuo,21
1960,payload,Payload / satélite,21
1960,rocket_body,Cuerpo de cohete,10
1961,debris,Debris / residuo,364
1961,payload,Payload / satélite,41
1961,rocket_body,Cuerpo de cohete,14
1962,debris,Debris / residuo,88
1962,payload,Payload / satélite,77
1962,rocket_body,Cuerpo de cohete,42
1963,debris,Debris / residuo,241
1963,payload,Payload / satélite,72
1963,rocket_body,Cuerpo de cohete,31
1964,debris,Debris / residuo,244
1964,payload,Payload / satélite,104
1964,rocket_body,Cuerpo de cohete,54
1965,debris,Debris / residuo,1281
1965,payload,Payload / satélite,158
1965,rocket_body,Cuerpo de cohete,91
1966,debris,Debris / residuo,557
1966,payload,Payload / satélite,145
1966,rocket_body,Cuerpo de cohete,96
1967,debris,Debris / residuo,197
1967,payload,Payload / satélite,157
1967,rocket_body,Cuerpo de cohete,113
1968,debris,Debris / residuo,454
1968,payload,Payload / satélite,139
1968,rocket_body,Cuerpo de cohete,103
1969,debris,Debris / residuo,405
1969,payload,Payload / satélite,138
1969,rocket_body,Cuerpo de cohete,100
1970,debris,Debris / residuo,679
1970,payload,Payload / satélite,129
1970,rocket_body,Cuerpo de cohete,106
1971,debris,Debris / residuo,369
1971,payload,Payload / satélite,156
1971,rocket_body,Cuerpo de cohete,113
1972,debris,Debris / residuo,415
1972,payload,Payload / satélite,130
1972,rocket_body,Cuerpo de cohete,113
1973,debris,Debris / residuo,625
1973,payload,Payload / satélite,135
1973,rocket_body,Cuerpo de cohete,119
1974,debris,Debris / residuo,460
1974,payload,Payload / satélite,126
1974,rocket_body,Cuerpo de cohete,123
1975,debris,Debris / residuo,897
1975,payload,Payload / satélite,155
1975,rocket_body,Cuerpo de cohete,145
1976,debris,Debris / residuo,956
1976,payload,Payload / satélite,159
1976,rocket_body,Cuerpo de cohete,152
1977,debris,Debris / residuo,671
1977,payload,Payload / satélite,136
1977,rocket_body,Cuerpo de cohete,150
1978,debris,Debris / residuo,483
1978,payload,Payload / satélite,166
1978,rocket_body,Cuerpo de cohete,145
1979,debris,Debris / residuo,619
1979,payload,Payload / satélite,123
1979,rocket_body,Cuerpo de cohete,131
1980,debris,Debris / residuo,382
1980,payload,Payload / satélite,130
1980,rocket_body,Cuerpo de cohete,131
1981,debris,Debris / residuo,882
1981,payload,Payload / satélite,159
1981,rocket_body,Cuerpo de cohete,151
1982,debris,Debris / residuo,2462
1982,payload,Payload / satélite,143
1982,rocket_body,Cuerpo de cohete,150
1983,debris,Debris / residuo,563
1983,payload,Payload / satélite,161
1983,rocket_body,Cuerpo de cohete,169
1984,debris,Debris / residuo,416
1984,payload,Payload / satélite,173
1984,rocket_body,Cuerpo de cohete,181
1985,debris,Debris / residuo,465
1985,payload,Payload / satélite,166
1985,rocket_body,Cuerpo de cohete,169
1986,debris,Debris / residuo,1101
1986,payload,Payload / satélite,136
1986,rocket_body,Cuerpo de cohete,136
1987,debris,Debris / residuo,881
1987,payload,Payload / satélite,139
1987,rocket_body,Cuerpo de cohete,145
1987,unknown,Desconocido,1
1988,debris,Debris / residuo,524
1988,payload,Payload / satélite,143
1988,rocket_body,Cuerpo de cohete,154
1989,debris,Debris / residuo,666
1989,payload,Payload / satélite,137
1989,rocket_body,Cuerpo de cohete,151
1990,debris,Debris / residuo,366
1990,payload,Payload / satélite,166
1990,rocket_body,Cuerpo de cohete,169
1991,debris,Debris / residuo,561
1991,payload,Payload / satélite,136
1991,rocket_body,Cuerpo de cohete,120
1992,debris,Debris / residuo,490
1992,payload,Payload / satélite,129
1992,rocket_body,Cuerpo de cohete,136
1993,debris,Debris / residuo,1965
1993,payload,Payload / satélite,109
1993,rocket_body,Cuerpo de cohete,106
1994,debris,Debris / residuo,1061
1994,payload,Payload / satélite,123
1994,rocket_body,Cuerpo de cohete,128
1995,debris,Debris / residuo,342
1995,payload,Payload / satélite,101
1995,rocket_body,Cuerpo de cohete,94
1996,debris,Debris / residuo,61
1996,payload,Payload / satélite,98
1996,rocket_body,Cuerpo de cohete,90
1997,debris,Debris / residuo,769
1997,payload,Payload / satélite,152
1997,rocket_body,Cuerpo de cohete,99
1998,debris,Debris / residuo,237
1998,payload,Payload / satélite,567
1998,rocket_body,Cuerpo de cohete,88
1999,debris,Debris / residuo,4076
1999,payload,Payload / satélite,127
