year,payload,debris,rocket_body,unknown,other,total
1957,2,0,1,0,0,3
1958,8,1,2,0,0,11
1959,15,5,3,0,0,23
1960,21,21,10,0,0,52
1961,41,364,14,0,0,419
1962,77,88,42,0,0,207
1963,72,241,31,0,0,344
1964,104,244,54,0,0,402
1965,158,1281,91,0,0,1530
1966,145,557,96,0,0,798
1967,157,197,113,0,0,467
1968,139,454,103,0,0,696
1969,138,405,100,0,0,643
1970,129,679,106,0,0,914
1971,156,369,113,0,0,638
1972,130,415,113,0,0,658
1973,135,625,119,0,0,879
1974,126,460,123,0,0,709
1975,155,897,145,0,0,1197
1976,159,956,152,0,0,1267
1977,136,671,150,0,0,957
1978,166,483,145,0,0,794
1979,123,619,131,0,0,873
1980,130,382,131,0,0,643
1981,159,882,151,0,0,1192
1982,143,2462,150,0,0,2755
1983,161,563,169,0,0,893
1984,173,416,181,0,0,770
1985,166,465,169,0,0,800
1986,136,1101,136,0,0,1373
1987,139,881,145,1,0,1166
1988,143,524,154,0,0,821
1989,137,666,151,0,0,954
1990,166,366,169,0,0,701
1991,136,561,120,0,0,817
1992,129,490,136,0,0,755
1993,109,1965,106,0,0,2180
1994,123,1061,128,0,0,1312
1995,101,342,94,0,0,537
1996,98,61,90,0,0,249
1997,152,769,99,0,0,1020
1998,567,237,88,0,0,892
1999,127,4076,96,0,0,4299
2000,119,506,105,0,0,730
2001,84,427,71,0,0,582
2002,94,233,68,0,0,395
2003,88,80,75,0,0,243
2004,72,71,73,0,0,216
2005,73,63,59,0,0,195
2006,91,1007,70,0,0,1168
2007,109,178,73,0,0,360
2008,103,242,74,0,0,419
2009,123,188,77,0,0,388
2010,121,222,70,0,0,413
2011,127,466,71,1,0,665
2012,126,275,73,0,0,474
2013,204,158,70,0,0,432
2014,193,269,80,0,0,542
2015,174,84,79,1,0,338
2016,176,103,75,1,0,355
2017,390,65,69,0,0,524
2018,410,432,97,24,0,963
2019,453,239,84,7,0,783
2020,1235,128,71,2,0,1436
2021,1769,111,89,37,0,2006
2022,2393,997,114,30,0,3534
2023,2867,138,121,25,0,3151
2024,2796,739,126,19,0,3680
2025,4487,18,147,7,0,4659
