year,commercial_payloads,previous_year_payloads,commercial_growth_pct,commercial_payloads_3yr_avg
1974,0,,,0.0
1988,0,0.0,,0.0
1989,0,0.0,,0.0
1990,0,0.0,,0.0
1991,1,0.0,,0.33
1992,0,1.0,-100.0,0.33
1993,1,0.0,,0.67
1994,0,1.0,-100.0,0.33
1995,1,0.0,,0.67
1996,1,1.0,0.0,0.67
1997,13,1.0,1200.0,5.0
1998,12,13.0,-7.69,8.67
1999,9,12.0,-25.0,11.33
2000,16,9.0,77.78,12.33
2001,6,16.0,-62.5,10.33
2002,14,6.0,133.33,12.0
2003,9,14.0,-35.71,9.67
2004,12,9.0,33.33,11.67
2005,15,12.0,25.0,12.0
2006,19,15.0,26.67,15.33
2007,33,19.0,73.68,22.33
2008,22,33.0,-33.33,24.67
2009,27,22.0,22.73,27.33
2010,26,27.0,-3.7,25.0
2011,38,26.0,46.15,30.33
2012,26,38.0,-31.58,30.0
2013,35,26.0,34.62,33.0
2014,54,35.0,54.29,38.33
2015,61,54.0,12.96,50.0
2016,34,61.0,-44.26,49.67
2017,91,34.0,167.65,62.0
2018,80,91.0,-12.09,68.33
2019,86,80.0,7.5,85.67
2020,434,86.0,404.65,200.0
2021,969,434.0,123.27,496.33
2022,1642,969.0,69.45,1015.0
2023,672,1642.0,-59.07,1094.33
2025,2,672.0,-99.7,772.0
