year,users_simplified,n_payloads
2000,Comercial,16
2000,Gubernamental,3
2000,Militar,4
2001,Comercial,6
2001,Gubernamental,4
2001,Militar,5
2002,Comercial,14
2002,Gubernamental,6
2002,Militar,3
2003,Civil,1
2003,Comercial,9
2003,Gubernamental,6
2003,Militar,9
2004,Comercial,12
2004,Gubernamental,7
2004,Militar,6
2005,Comercial,15
2005,Gubernamental,5
2005,Militar,6
2006,Comercial,19
2006,Gubernamental,11
2006,Militar,6
2007,Comercial,33
2007,Gubernamental,5
2007,Militar,9
2008,Civil,1
2008,Comercial,22
2008,Gubernamental,15
2008,Militar,9
2009,Civil,5
2009,Comercial,27
2009,Gubernamental,11
2009,Militar,12
2010,Civil,2
2010,Comercial,26
2010,Gubernamental,20
2010,Militar,17
2011,Civil,1
2011,Comercial,38
2011,Gubernamental,24
2011,Militar,17
2012,Civil,2
2012,Comercial,26
2012,Gubernamental,16
2012,Militar,25
2013,Civil,4
2013,Comercial,35
2013,Gubernamental,26
2013,Militar,26
2014,Civil,5
2014,Comercial,54
2014,Gubernamental,30
2014,Militar,22
2015,Civil,5
2015,Comercial,61
2015,Gubernamental,22
2015,Militar,26
2016,Comercial,34
2016,Gubernamental,41
2016,Militar,14
2017,Civil,3
2017,Comercial,91
2017,Gubernamental,26
2017,Militar,24
2018,Civil,16
2018,Comercial,80
2018,Gubernamental,54
2018,Militar,43
2019,Civil,3
2019,Comercial,86
2019,Gubernamental,32
2019,Militar,27
2020,Civil,5
2020,Comercial,434
2020,Gubernamental,29
2020,Militar,33
2021,Civil,6
2021,Comercial,969
2021,Gubernamental,34
2021,Militar,41
2022,Civil,4
2022,Comercial,1642
2022,Gubernamental,27
2022,Militar,37
2023,Civil,3
2023,Comercial,672
2023,Gubernamental,9
2023,Militar,18
2025,Comercial,2
