year,Comercial,Militar,Gubernamental,Civil,Otros,Sin clasificar,total
1974,0,0,0,1,0,0,1
1988,0,0,1,0,0,0,1
1989,0,1,0,0,0,0,1
1990,0,1,1,0,0,0,2
1991,1,0,0,0,0,0,1
1992,0,0,1,0,0,0,1
1993,1,1,0,0,0,0,2
1994,0,2,0,0,0,0,2
1995,1,2,1,0,0,0,4
1996,1,2,0,0,0,0,3
1997,13,3,1,0,0,0,17
1998,12,2,3,0,0,0,17
1999,9,3,5,0,0,0,17
2000,16,4,3,0,0,0,23
2001,6,5,4,0,0,0,15
2002,14,3,6,0,0,0,23
2003,9,9,6,1,0,0,25
2004,12,6,7,0,0,0,25
2005,15,6,5,0,0,0,26
2006,19,6,11,0,0,0,36
2007,33,9,5,0,0,0,47
2008,22,9,15,1,0,0,47
2009,27,12,11,5,0,0,55
2010,26,17,20,2,0,0,65
2011,38,17,24,1,0,0,80
2012,26,25,16,2,0,0,69
2013,35,26,26,4,0,0,91
2014,54,22,30,5,0,0,111
2015,61,26,22,5,0,0,114
2016,34,14,41,0,0,0,89
2017,91,24,26,3,0,0,144
2018,80,43,54,16,0,0,193
2019,86,27,32,3,0,0,148
2020,434,33,29,5,0,0,501
2021,969,41,34,6,0,0,1050
2022,1642,37,27,4,0,0,1710
2023,672,18,9,3,0,0,702
2025,2,0,0,0,0,0,2
