current_official_name_of_satellite,country_org_of_un_registry,country_of_operator_owner,operator_owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,completeness_score
Starlink-5016                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BC,56143,,23
Starlink-5016                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BC,56143,,23
Starlink-5089               ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BH,56148,,23
Starlink-5089               ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BH,56148,,23
Starlink-5111                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BF,56146,,23
Starlink-5111                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BF,56146,,23
Starlink-5140 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BG,56147,,23
Starlink-5140 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BG,56147,,23
Starlink-5370                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BE,56145,,23
Starlink-5370                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BE,56145,,23
Starlink-5374                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BD,56144,,23
Starlink-5374                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BD,56144,,23
Starlink-5376                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BB,56142,,23
Starlink-5376                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,564.0,567.0,0.00021627856679403071,43.0,95.8,290.0,,,2023-03-29,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-046BB,56142,,23
Starlink-5471 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,539.0,541.0,0.0001447178002894356,53.0,95.4,260.0,,,2022-12-17,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2022-175J ,54766,,23
Starlink-5472 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,539.0,541.0,0.0001447178002894356,53.0,95.4,260.0,,,2022-12-17,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2022-175K ,54766,,23
Starlink-5636                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,323.0,342.0,0.0014173815740395376,43.0,95.8,290.0,,,2023-02-02,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015F,55455,,23
Starlink-5680                ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,323.0,342.0,0.0014173815740395376,43.0,95.8,290.0,,,2023-02-02,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2023-015G,55455,,23
