object_name,object_id,norad_cat_id,object_type,ops_status_code,owner,launch_date,launch_site,decay_date,period,inclination,apogee,perigee,rcs,data_status_code,orbit_center,orbit_type,launch_year,decay_year,altitude_mean_km,in_orbit_flag,age_years,is_payload,is_debris,is_rocket_body,object_type_label,object_type_short,launch_decade,launch_decade_label,ucs_official_name,un_registry_country,operator_owner_country,operator_owner,users,purpose,detailed_purpose,ucs_orbit_class,ucs_orbit_type,geo_longitude_degrees,ucs_perigee_km,ucs_apogee_km,eccentricity,ucs_inclination_degrees,ucs_period_minutes,launch_mass_kg,dry_mass_kg,power_watts,ucs_launch_date,expected_lifetime_yrs,contractor,country_of_contractor,ucs_launch_site,launch_vehicle,cospar_number,comments,matched_ucs,users_simplified,purpose_simplified,altitude_band,altitude_band_order
SPUTNIK 1,1957-001B,2,PAY,D,CIS,1957-10-04,TYMSC,1958-01-03,96.1,65.0,1080.0,64.0,,,EA,IMP,1957,1958,572.0,False,68.53,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO baja (400-600 km),2
SPUTNIK 2,1957-002A,3,PAY,D,CIS,1957-11-03,TYMSC,1958-04-14,103.74,65.33,1659.0,211.0,0.08,,EA,IMP,1957,1958,935.0,False,68.45,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO media (600-1200 km),3
EXPLORER 1,1958-001A,4,PAY,D,US,1958-02-01,AFETR,1970-03-31,88.48,33.15,215.0,183.0,,,EA,IMP,1958,1970,199.0,False,68.21,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
VANGUARD 1,1958-002B,5,PAY,,US,1958-03-17,AFETR,,132.6,34.25,3817.0,654.0,0.122,,EA,ORB,1958,,2235.5,True,68.08,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,MEO (2000-20000 km),5
EXPLORER 3,1958-003A,6,PAY,D,US,1958-03-26,AFETR,1958-06-28,151.74,19.24,5985.0,107.0,,,EA,IMP,1958,1958,3046.0,False,68.06,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,MEO (2000-20000 km),5
SPUTNIK 3,1958-004B,8,PAY,D,CIS,1958-05-15,TYMSC,1960-04-06,88.43,65.06,255.0,139.0,11.84,,EA,IMP,1958,1960,197.0,False,67.92,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
EXPLORER 4,1958-005A,9,PAY,D,US,1958-07-26,AFETR,1959-10-23,92.81,50.25,585.0,239.0,,,EA,IMP,1958,1959,412.0,False,67.73,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO baja (400-600 km),2
SCORE,1958-006A,10,PAY,D,US,1958-12-18,AFETR,1959-01-21,98.21,32.29,1187.0,159.0,,,EA,IMP,1958,1959,673.0,False,67.33,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO media (600-1200 km),3
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,120.97,32.87,2895.0,554.0,0.3931,,EA,ORB,1959,,1724.5,True,67.16,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO alta (1200-2000 km),4
DISCOVERER 1,1959-002A,13,PAY,D,US,1959-02-28,AFWTR,1959-03-03,92.7,90.0,697.0,114.0,,,EA,IMP,1959,1959,405.5,False,67.13,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO baja (400-600 km),2
DISCOVERER 2,1959-003A,14,PAY,D,US,1959-04-13,AFWTR,1959-04-26,90.4,89.9,346.0,239.0,,,EA,IMP,1959,1959,292.5,False,67.01,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
EXPLORER 6,1959-004A,15,PAY,D,US,1959-08-07,AFETR,1961-06-30,762.25,46.95,42276.0,251.0,,,EA,IMP,1959,1961,21263.5,False,66.69,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,MEO alta / GNSS (20000-30000 km),6
DISCOVERER 5,1959-005A,18,PAY,D,US,1959-08-13,AFWTR,1959-09-28,89.1,79.99,323.0,137.0,,,EA,IMP,1959,1959,230.0,False,66.68,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
DISCOVERER 6,1959-006A,19,PAY,D,US,1959-08-19,AFWTR,1959-10-20,90.92,84.0,469.0,171.0,,,EA,IMP,1959,1959,320.0,False,66.66,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,123.93,33.34,3204.0,508.0,0.6412,,EA,ORB,1959,,1856.0,True,66.58,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO alta (1200-2000 km),4
LUNA 3,1959-008A,21,PAY,D,CIS,1959-10-04,TYMSC,1960-04-20,21563.22,55.0,499998.0,500.0,,,EA,IMP,1959,1960,250249.0,False,66.54,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,Órbita alta / HEO (>40000 km),8
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,94.26,50.25,537.0,428.0,0.5003,,EA,ORB,1959,,482.5,True,66.51,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,LEO baja (400-600 km),2
DISCOVERER 7,1959-010A,24,PAY,D,US,1959-11-07,AFWTR,1959-11-26,91.54,81.64,539.0,161.0,,,EA,IMP,1959,1959,350.0,False,66.44,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
DISCOVERER 8,1959-011A,25,PAY,D,US,1959-11-20,AFWTR,1960-03-08,88.03,80.65,239.0,115.0,,,EA,IMP,1959,1960,177.0,False,66.41,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
DISCOVERER 5 CAPSULE,1959-005B,26,PAY,D,US,1959-08-13,AFWTR,1961-02-11,88.73,78.94,280.0,143.0,,,EA,IMP,1959,1961,211.5,False,66.68,True,False,False,Payload / satélite,payload,1950,1950s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,VLEO (<400 km),1
PIONEER 5,1960-001A,27,PAY,,US,1960-03-11,AFETR,,,,,,0.0008,NEA,SU,ORB,1960,,,True,66.1,True,False,False,Payload / satélite,payload,1960,1960s,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sin clasificar,Sin clasificar,Sin altitud válida,99
